DATE,forecast_SGD
2025-11-18,5.455610
2025-11-19,5.453418
2025-11-20,5.451139
2025-11-21,5.448808
2025-11-24,5.446469
2025-11-25,5.444163
2025-11-26,5.441928
2025-11-27,5.439793
2025-11-28,5.437776
2025-12-01,5.435892
2025-12-02,5.434146
2025-12-03,5.432542
2025-12-04,5.431078
2025-12-05,5.429749
2025-12-08,5.428548
2025-12-09,5.427469
2025-12-10,5.426503
2025-12-11,5.425641
2025-12-12,5.424876
2025-12-15,5.424198
2025-12-16,5.423599
2025-12-17,5.423072
